time,low,high,open,close,volume
1518220800,8592.0,8671.01,8671.0,8649.99,69.07016283
1518221700,8649.99,8844.2,8650.0,8819.99,221.95547405000002
1518222600,8782.79,8848.0,8820.0,8820.0,120.4314322
1518223500,8820.0,8899.99,8820.0,8884.0,137.6359961899999
1518224400,8822.54,8960.0,8884.0,8934.33,119.02313005999999
1518225300,8830.55,8934.0,8930.0,8885.88,109.18986729000005
1518226200,8855.28,8935.0,8885.88,8855.28,70.89634163000002
1518227100,8765.0,8854.59,8854.59,8795.0,78.81817474000002
1518228000,8764.34,8860.13,8787.85,8851.0,69.06835351999996
1518228900,8850.99,8899.98,8851.0,8874.0,65.87187395999996
1518229800,8851.03,8915.0,8874.01,8899.99,46.55761765
1518230700,8880.0,8947.0,8900.0,8919.99,60.449562159999985
1518231600,8919.99,8974.0,8920.0,8935.72,92.09710787
1518232500,8924.12,8970.0,8935.71,8969.99,70.05120771999998
1518233400,8969.0,8980.96,8969.99,8969.06,83.81463160999984
1518234300,8888.0,8969.07,8969.07,8918.65,72.64133567
1518235200,8831.0,8926.29,8919.0,8831.0,105.5649588900001
1518236100,8796.0,8861.0,8831.0,8796.01,97.69289536000005
1518237000,8796.0,8827.86,8796.01,8815.0,103.50049042999999
1518237900,8796.0,8875.07,8815.0,8808.7,104.57945968
1518238800,8808.7,8850.0,8808.7,8850.0,51.48218475999999
1518239700,8849.99,8880.0,8850.0,8880.0,103.40736792999995
1518240600,8848.95,8900.0,8880.0,8857.98,59.75965037999999
1518241500,8850.0,8860.07,8857.97,8860.07,31.942254480000013
1518242400,8860.06,8929.61,8860.07,8929.61,70.54771504000003
1518243300,8901.05,8950.0,8929.6,8919.9,50.758070069999995
1518244200,8905.39,8967.47,8919.9,8967.46,60.28534018999998
1518245100,8967.46,9090.0,8967.47,9046.19,123.92821634000002
1518246000,8901.67,9061.82,9046.19,8909.4,117.73193022999996
1518246900,8862.59,9000.0,8909.4,8985.0,98.78444205000001
1518247800,8953.11,8998.98,8978.99,8985.01,58.39607245
1518248700,8950.0,8985.01,8985.01,8958.01,41.13041674
1518249600,8820.0,8958.01,8958.01,8835.0,44.63921028000001
1518250500,8800.73,8870.0,8835.0,8815.01,36.984245070000014
1518251400,8710.51,8815.01,8815.0,8743.21,75.67356256000002
1518252300,8673.87,8768.11,8737.73,8680.01,60.87840049
1518253200,8656.79,8752.19,8684.06,8744.91,33.463841829999986
1518254100,8686.89,8749.0,8744.91,8738.0,58.158687509999965
1518255000,8738.0,8788.63,8738.0,8775.01,28.869027979999984
1518255900,8616.0,8775.01,8775.01,8640.7,51.172847770000004
1518256800,8633.32,8684.99,8640.7,8633.33,20.208940580000004
1518257700,8633.0,8716.94,8633.34,8640.74,22.194354280000013
1518258600,8564.63,8666.8,8640.0,8623.63,74.31504965
1518259500,8560.99,8626.64,8619.98,8560.99,34.91409709999999
1518260400,8560.99,8663.11,8560.99,8638.01,27.457858969999997
1518261300,8610.0,8712.09,8638.0,8708.08,32.095947110000004
1518262200,8667.29,8730.0,8708.07,8707.91,24.998915800000002
1518263100,8626.69,8707.92,8707.92,8665.0,55.940036950000014
1518264000,8586.76,8666.0,8665.01,8586.76,57.758904490000035
1518264900,8562.5,8632.66,8586.77,8604.16,29.10607189000002
1518265800,8589.0,8679.87,8602.36,8679.87,37.99869073
1518266700,8640.0,8679.87,8679.87,8655.87,40.87027722999999
1518267600,8650.0,8774.13,8655.0,8774.12,42.94614712999998
1518268500,8744.12,8784.3,8774.12,8765.01,44.321038120000004
1518269400,8740.0,8785.77,8765.01,8740.0,39.12827689999998
1518270300,8720.0,8784.05,8740.0,8770.6,34.78276973
1518271200,8758.53,8800.0,8770.59,8800.0,32.039385880000005
1518272100,8712.09,8820.0,8800.0,8712.1,48.42352058
1518273000,8597.6,8712.1,8712.1,8602.41,58.289748640000035
1518273900,8602.01,8660.0,8602.42,8627.71,49.93103526000001
1518274800,8501.0,8645.4,8627.71,8501.01,84.48104844000002
1518275700,8391.45,8501.01,8501.01,8467.35,186.65877863999992
1518276600,8374.54,8492.0,8470.0,8374.54,181.4366074499999
1518277500,8329.5,8400.0,8374.54,8369.0,136.56415012
1518278400,8368.99,8483.0,8368.99,8389.99,112.52370074999993
1518279300,8390.0,8448.98,8390.0,8419.0,47.424258770000016
1518280200,8302.34,8444.0,8419.0,8302.35,87.20758330000002
1518281100,8260.0,8349.99,8302.35,8315.02,74.29708131000005
1518282000,8315.02,8400.0,8315.03,8389.01,79.23314536000002
1518282900,8389.01,8464.0,8389.01,8422.25,55.32855143000001
1518283800,8410.0,8499.99,8422.25,8485.0,43.60046934999998
1518284700,8437.92,8485.0,8485.0,8464.02,55.01427063999999
1518285600,8370.0,8464.02,8464.02,8370.0,41.8241282
1518286500,8322.06,8434.36,8370.01,8402.7,61.55800566000001
1518287400,8326.19,8402.69,8402.69,8349.01,73.49374626
1518288300,8333.0,8395.0,8351.33,8333.0,65.89847493999999
1518289200,8276.92,8334.99,8333.0,8334.99,73.66463622
1518290100,8334.98,8391.75,8334.99,8350.4,55.129631390000014
1518291000,8333.25,8439.0,8350.29,8437.0,62.85856305
1518291900,8420.18,8465.0,8437.0,8447.17,34.633759270000006
1518292800,8350.0,8447.17,8447.17,8373.0,37.05034323000002
1518293700,8350.0,8394.99,8373.01,8350.01,30.982837650000015
1518294600,8350.0,8400.0,8350.01,8370.06,27.583885300000016
1518295500,8167.0,8370.22,8370.06,8201.51,139.86177831999981
1518296400,8170.7,8252.84,8201.51,8240.0,109.46938483999999
1518297300,8155.0,8253.12,8240.0,8249.48,66.29699144
1518298200,8239.0,8329.95,8246.44,8320.0,71.96754615999993
1518299100,8262.38,8319.99,8319.99,8287.9,54.77677229999998
1518300000,8284.97,8355.0,8284.97,8355.0,101.79283397999997
1518300900,8360.99,8519.16,8361.0,8483.46,132.35111164000008
1518301800,8487.51,8584.0,8492.21,8487.52,95.67100027000002
1518302700,8463.71,8595.0,8487.52,8560.0,119.56262535999997
1518303600,8500.0,8567.53,8560.0,8503.74,52.48616695000004
1518304500,8504.79,8584.63,8504.79,8510.01,54.04763889999999
1518305400,8480.83,8538.3,8510.0,8505.0,60.001358720000034
1518306300,8520.0,8553.93,8520.0,8547.49,32.39201794000001
